booking_id,charge_description,statute,crime_type,crime_class
20180101145,AGG UUW/VEHICLE/NO FOID,720-5/24-1.6(A)(1),F,4
20180102010,DOMESTIC BATTERY/BODILY HARM,720 ILCS 5/12-3.2(a)(1),M,A
20180102030,AGG DUI/LIC SUSP OR REVOKED,625-5/11-501(A),F,4
20180102030,AGG DUI/NO VALID DL,625-5/11-501(A),F,4
20180102030,ESCAPE/VIOLATE ELEC MONITORIN,730-5/5-8A-4.1(A),F,3
20180102030,TN432097,625-5/3-707,T,4
20180102030,VOBB,725-5/110-S-A&E,F,4
20180102035,IVC - AGG FLEEING/2+ CON DEVI,625-5/11-204.1-A-4,F,4
20180102035,RECEIVE/POSS/SELL STOLEN VEH,625-5/4-103(A)(1),F,2
20180102035,TN413706,9-40-100(A),T,2
20180102035,TN413707,9-8-020-C-2,T,2
20180102035,TN413708,9-24-010(B),T,2
20180102035,TN413709,625-5/6-101-B,T,2
20180102036,DOMESTIC BATTERY/BODILY HARM,720 ILCS 5/12-3.2(a)(1),M,A
20180102036,DOMESTIC BTRY/PHYSICAL CONTACT,720 ILCS 5/12-3.2(a)(2),M,A
20180102036,DRIVING RVK/SUSP DUI/SSS 2ND,625-5/6-303(A),F,4
20180102036,DRIVING RVK/SUSP DUI/SSS 3RD,625-5/6-303(A),F,4
20180102036,DRIVING RVK/SUSP DUI/SSS 4-9,625-5/6-303(A),F,4
20180102039,AGG ASSAULT/USE FIR/PEACE OFF,720-5/12-2-C-6,F,4
20180102039,"UUW - WEAPON - FELON, POSSESS",720-5/24-1.1-A,F,3
20180102043,RET THEFT/DISP MERCH/>$300,720-5/16-25(A)(1),F,3
20180102043,THEFT/DISP MERCH/<$300/PRECON,720-5/16-25(A)(1),F,4
20180102045,FELON POSS/USE FIREARM PRIOR,720-5/24-1.1(A),F,2
20180102045,MFG/DEL 1<15 GR COCAINE/ANLG,720-570/401(C)(2),F,1
20180102052,CRIM DAMAGE TO PROPERTY <$300,720-5/21-1-A-1,M,A
20180102055,PCS - DRUG PARAPHERNALIA - PO,720-600/3.5-A,M,A
20180102055,POSS AMT CON SUB EXCEPT(A)/(D,720-570/402(C),F,4
20180102055,POSS CANNABIS<10 GRAMS,720-550/4-A,M,4
20180102055,YE-345638,625-5/11-804,T,4
20180102055,YE-345639,625-5/6-303,T,4
20180102056,DOMESTIC BATTERY/BODILY HARM,720 ILCS 5/12-3.2(a)(1),M,A
20180102060,AGG BATTERY/PEACE OFFICER,720-5/12-3.05(D)(4),F,2
20180102060,AGG UNLAWFUL USE OF WEAPON/VE,720-5/24-1.6(A)(1),F,4
20180102060,AGG UUW/LOADED/NO FCCA/FOID,720-5/24-1.6(A)(1),F,4
20180102060,DRIVING RVK/SUSP DUI/SSS 2ND,625-5/6-303(A),F,4
20180102060,YE593375,625-5/12-503(A-5),T,4
20180102060,YE593376,625-5/3-707,T,4
20180102060,YE593377,625-5/6-303(A),T,4
20180102069,,,,
20180102069,AMT NARC SCHED I/II/SCH/H,720-570/407-B-,F,1
20180102069,ESCAPE/VIOLATE ELEC MONITORIN,730-5/5-8A-4.1(A),F,3
20180102069,OTHER AMT NARCOTIC SCHED I&II,720 ILCS 570/401(d)(i),F,2
20180102069,POSS AMT CON SUB EXCEPT(A)/(D,720-570/402(C),F,4
20180102121,AGG ASLT/PEACE OFFICER,720 - 5/12-2(B)(4.1),F,4
20180102121,AGG ASSAULT PC OFFICER/FI,720-5/12-2(A)(6),F,A
20180102122,AGG BATTERY/GREAT BODILY HARM,720-5/12-3.05(A)(1),F,3
20180102122,AGG BATTERY/USE DEADLY WEAPON,720-5/12-3.05(F)(1),F,3
20180102122,AGGRAVATED DOMESTIC BATTERY,720-5/12-3.3(A),F,2
20180102122,ATTEMPT  MURDER FIRST DEGREE,720-5/8-4,F,2
20180102122,ATTEMPT MURDER/INTENT TO KILL,720 - 5/8-4(A)(720-5,F,X
20180102122,DOMESTIC BATTERY AGG,720-5/12-3-3-A,F,2
20180102137,AGG DUI/3,625-5/11-501(A),F,2
20180102137,AGG DUI/3/BAC 0.16+,625-5/11-501(A),F,2
20180102137,AGG DUI/4,625-5/11-501(A),F,2
20180102137,AGG DUI/4/BAC 0.16+,625-5/11-501(A),F,2
20180102137,AGG DUI/LIC SUSP OR REVOKED,625-5/11-501(a),F,4
20180102139,PUB INDECENCY/EXPOSURE/SCHOOL,720-5/11-30(A)(2),F,4
20180102139,PUB INDECENCY/SEX/SCH GROUNDS,720-5/11-30(A)(1),F,4
20180102147,AGG UNLAWFUL USE OF WEAPON/VE,720-5/24-1.6(A)(1),F,4
20180102147,AGG UUW/LOADED/NO FCCA/FOID,720-5/24-1.6(A)(1),F,4
20180102150,CRIM DAMAGE TO PROPERTY <$300,720-5/21-1-A-1,M,A
20180102154,BURGLARY,720 ILCS 5/19-1(a),F,2
20180102154,BURGLARY,720-5/19-1(A),F,2
20180102154,RESIDENTIAL BURGLARY,720-5/19-3(A),F,1
20180103006,DOMESTIC BATTERY,720 5/12-3.2-A-2,M,A
20180103006,Fugitive From Justice,725 ILCS 225-13,Other,Other
20180103019,MFG/DEL 1<15 GR HEROIN/ANALOG,720-570/401(C)(1),F,1
20180103019,MFG/DEL HEROIN/SCH/PUB HS/PK,720-570/407(B)(1),F,X
20180103019,UUW - WEAPON - FELON/PARO,720-5/24-1.1-A,F,2
20180103021,MFG/DEL 1<15 GR COCAINE/ANLG,720-570/401(C)(2),F,1
20180103021,MFG/DEL 1<15 GR HEROIN/ANALOG,720-570/401(C)(1),F,1
20180103021,MFG/DEL HEROIN/SCH/PUB HS/PK,720-570/407-B-1,F,X
20180103021,OTHER AMT NARCOTIC SCHED I&II,720-570/401(D)(I),F,2
20180103021,PCS - POSSESSION - POSS AMT C,720-570/402-C,F,4
