event_id,booking_id,bed_start_date_time,bed_assignment,facility,section,cell
bm_20161030070_2017-09-06 21:30:00,20161030070,2017-09-06 21:30:00,DIV6-2P-3-1,Division 6,DIV6-2P,DIV6-2P-3
bm_20170923038_2017-09-23 23:00:00,20170923038,2017-09-23 23:00:00,DIV4-Q2-205-2,Division 4,DIV4-Q2,DIV4-Q2-205
bm_20170311010_2017-09-26 13:30:00,20170311010,2017-09-26 13:30:00,Div11-AB-110-1,Division 11,DIV11-AB,DIV11-AB-110
bm_20170311010_2017-07-12 11:00:00,20170311010,2017-07-12 11:00:00,Div11-AJ-412-2,Division 11,DIV11-AJ,DIV11-AJ-412
bm_20170923203_2017-09-25 16:30:00,20170923203,2017-09-25 16:30:00,DIV9-3E-3003-1,Division 9,DIV9-3E,DIV9-3E-3003
bm_20170427140_2017-09-12 20:40:00,20170427140,2017-09-12 20:40:00,DIV9-1H-1065-2,Division 9,DIV9-1H,DIV9-1H-1065
bm_20170622006_2017-06-23 11:44:00,20170622006,2017-06-23 11:44:00,DIV2-D1-H-25,Division 2,DIV2-D1,DIV2-D1-H
bm_20160930114_2017-06-01 08:00:00,20160930114,2017-06-01 08:00:00,DIV6-2J-3-1,Division 6,DIV6-2J,DIV6-2J-3
bm_20170724017_2017-08-29 10:00:00,20170724017,2017-08-29 10:00:00,DIV2-D1-H-43,Division 2,DIV2-D1,DIV2-D1-H
bm_20170810094_2017-08-12 18:30:00,20170810094,2017-08-12 18:30:00,DIV2-D1-H-29,Division 2,DIV2-D1,DIV2-D1-H
bm_20170210194_2017-08-07 08:21:00,20170210194,2017-08-07 08:21:00,DIV2-D1-H-20,Division 2,DIV2-D1,DIV2-D1-H
bm_20170629116_2017-09-09 20:00:00,20170629116,2017-09-09 20:00:00,DIV6-1L-5-2,Division 6,DIV6-1L,DIV6-1L-5
bm_20170211136_2017-09-16 09:30:00,20170211136,2017-09-16 09:30:00,DIV10-1D-1420-2,Division 10,DIV10-1D,DIV10-1D-1420
bm_20170401183_2017-09-23 00:00:00,20170401183,2017-09-23 00:00:00,DIV6-1A-10-2,Division 6,DIV6-1A,DIV6-1A-10
bm_20170829179_2017-09-11 18:30:00,20170829179,2017-09-11 18:30:00,DIV6-2B-12-1,Division 6,DIV6-2B,DIV6-2B-12
bm_20170905050_2017-09-08 10:20:00,20170905050,2017-09-08 10:20:00,DIV6-2J-20-2,Division 6,DIV6-2J,DIV6-2J-20
bm_20170702077_2017-09-16 16:00:00,20170702077,2017-09-16 16:00:00,DIV6-1Q-10-2,Division 6,DIV6-1Q,DIV6-1Q-10
bm_20170607056_2017-09-15 12:00:00,20170607056,2017-09-15 12:00:00,DIV08-4A-10-1_X,Division 8 RTU,DIV08-4A,DIV08-4A-10
bm_20170815058_2017-09-07 21:30:00,20170815058,2017-09-07 21:30:00,DIV6-1R-8-2,Division 6,DIV6-1R,DIV6-1R-8
bm_20170921161_2017-09-22 23:30:00,20170921161,2017-09-22 23:30:00,DIV10-3A-3116-2,Division 10,DIV10-3A,DIV10-3A-3116
bm_20170527165_2017-06-05 00:00:00,20170527165,2017-06-05 00:00:00,DIV 15-SPIDOC-IDOC SPCMVNT-GENERAL,Division 15,DIV15-SPIDOC,DIV15-SPIDOC-IDOC SPCMVNT
bm_20161216077_2017-09-12 12:30:00,20161216077,2017-09-12 12:30:00,DIV9-1H-1267-2,Division 9,DIV9-1H,DIV9-1H-1267
bm_20160308052_2017-09-24 21:30:00,20160308052,2017-09-24 21:30:00,DIV10-3C-3314-1,Division 10,DIV10-3C,DIV10-3C-3314
bm_20131030277_2017-09-21 20:00:00,20131030277,2017-09-21 20:00:00,DIV9-2C-2163-1,Division 9,DIV9-2C,DIV9-2C-2163
bm_20170823170_2017-09-22 14:30:00,20170823170,2017-09-22 14:30:00,DIV6-1N-2-2,Division 6,DIV6-1N,DIV6-1N-2
bm_20170215111_2017-09-16 11:00:00,20170215111,2017-09-16 11:00:00,DIV10-1D-1405-1,Division 10,DIV10-1D,DIV10-1D-1405
bm_20151107245_2017-09-16 10:00:00,20151107245,2017-09-16 10:00:00,DIV9-2C-2165-2,Division 9,DIV9-2C,DIV9-2C-2165
bm_20170908005_2017-09-13 18:00:00,20170908005,2017-09-13 18:00:00,DIV8-2N-Dayroom-DR,Division 8,DIV8-2N,DIV8-2N-Dayroom
bm_20161018113_2017-08-25 00:00:00,20161018113,2017-08-25 00:00:00,DIV9-1E-1206-2,Division 9,DIV9-1E,DIV9-1E-1206
bm_20160604047_2017-08-26 18:30:00,20160604047,2017-08-26 18:30:00,DIV9-1E-1205-2,Division 9,DIV9-1E,DIV9-1E-1205
bm_20170920016_2017-09-21 01:00:00,20170920016,2017-09-21 01:00:00,Div11-CB-208-1,Division 11,DIV11-CB,DIV11-CB-208
bm_20170112020_2017-06-01 15:30:00,20170112020,2017-06-01 15:30:00,Div11-CH-304-2,Division 11,DIV11-CH,DIV11-CH-304
bm_20150724030_2017-09-18 09:14:00,20150724030,2017-09-18 09:14:00,DIV6-2J-1-1,Division 6,DIV6-2J,DIV6-2J-1
bm_20160119060_2017-09-05 17:30:00,20160119060,2017-09-05 17:30:00,DIV9-1C-1158-2,Division 9,DIV9-1C,DIV9-1C-1158
bm_20170826192_2017-08-29 21:00:00,20170826192,2017-08-29 21:00:00,DIV2-D2-R-29,Division 2,DIV2-D2,DIV2-D2-R
bm_20170823150_2017-09-19 21:00:00,20170823150,2017-09-19 21:00:00,DIV08-5A-10-1_X,Division 8 RTU,DIV08-5A,DIV08-5A-10
bm_20170923203_2017-09-24 03:00:00,20170923203,2017-09-24 03:00:00,Div11-CH-404-1,Division 11,DIV11-CH,DIV11-CH-404
bm_20160320149_2017-08-27 18:00:00,20160320149,2017-08-27 18:00:00,DIV9-1F-1029-1,Division 9,DIV9-1F,DIV9-1F-1029
bm_20160518271_2017-08-31 20:00:00,20160518271,2017-08-31 20:00:00,DIV4-N2-213-2,Division 4,DIV4-N2,DIV4-N2-213
bm_20170829174_2017-08-29 23:30:00,20170829174,2017-08-29 23:30:00,DIV2-D4-ML-18,Division 2,DIV2-D4,DIV2-D4-ML
bm_20170912122_2017-09-13 01:00:00,20170912122,2017-09-13 01:00:00,DIV6-2B-5-1,Division 6,DIV6-2B,DIV6-2B-5
bm_20160308052_2017-09-16 13:00:00,20160308052,2017-09-16 13:00:00,DIV10-4B-4220-1,Division 10,DIV10-4B,DIV10-4B-4220
