booking_id,facility,section,cell,bed_assignment,bed_start_date,bed_end_date
20180509028,Division 8 RTU,DIV08-4A,DIV08-4A-6,DIV08-4A-6-2_X,2018-05-24 17:00:00,2018-05-29 12:00:00
20180509028,Division 8 RTU,DIV08-2F,DIV08-2F-D2,DIV08-2F-D2-13,2018-05-29 12:00:00,2018-06-24 20:30:00
20180509028,Division 11,DIV11-CJ,DIV11-CJ-312,Div11-CJ-312-2,2018-06-24 08:00:00,
20180509035,Division 4,DIV4-M2,DIV4-M2-205,DIV4-M2-205-2,2018-05-09 23:00:00,2018-05-15 11:00:00
20180509035,Division 6,DIV6-1Q,DIV6-1Q-20,DIV6-1Q-20-2,2018-05-15 11:30:00,2018-06-07 08:30:00
20180509035,Division 6,DIV6-2P,DIV6-2P-1,DIV6-2P-1-1,2018-06-07 08:30:00,2018-06-18 19:30:00
20180509035,Division 6,DIV6-1K,DIV6-1K-5,DIV6-1K-5-2,2018-06-25 19:30:00,2018-08-18 12:00:00
20180509035,Division 6,DIV6-2H,DIV6-2H-11,DIV6-2H-11-2,2018-08-18 12:00:00,2018-08-19 08:00:00
20180509035,Division 6,DIV6-2K,DIV6-2K-11,DIV6-2K-11-2,2018-08-19 08:00:00,2018-08-22 13:30:00
20180509035,Division 10,DIV10-4D,DIV10-4D-4411,DIV10-4D-4411-2,2018-08-22 14:00:00,2018-09-01 02:00:00
20180509035,Division 10,DIV10-3C,DIV10-3C-3305,DIV10-3C-3305-2,2018-09-01 02:00:00,2018-09-14 20:00:00
20180509035,Division 8,DIV8-2N,DIV8-2N-2261,DIV8-2N-2261-2,2018-09-14 20:00:00,2018-09-17 13:30:00
20180509035,Division 8 RTU,DIV08-4D,DIV08-4D-D3,DIV08-4D-D3-23,2018-09-17 13:30:00,2018-09-20 11:30:00
20180509035,Division 6,DIV6-2P,DIV6-2P-6,DIV6-2P-6-2,2018-09-20 12:56:00,2018-09-22 10:00:00
20180509035,Division 6,DIV6-2K,DIV6-2K-2,DIV6-2K-2-1,2018-09-22 10:00:00,2018-10-02 17:30:00
20180509035,Division 6,DIV6-2L,DIV6-2L-5,DIV6-2L-5-1,2018-10-02 17:30:00,2018-11-20 13:30:00
20180509035,Division 6,DIV6-2N,DIV6-2N-6,DIV6-2N-6-1,2018-11-20 13:30:00,2019-01-04 17:00:00
20180509035,Division 6,DIV6-2J,DIV6-2J-5,DIV6-2J-5-1,2019-01-04 17:00:00,2019-01-14 12:00:00
20180509035,Division 6,DIV6-2N,DIV6-2N-5,DIV6-2N-5-1,2019-01-14 12:00:00,2019-01-15 21:00:00
20180509035,Division 9,DIV9-1H,DIV9-1H-1062,DIV9-1H-1062-1,2019-01-15 21:00:00,2019-01-29 18:30:00
20180509035,Division 6,DIV6-2Q,DIV6-2Q-16,DIV6-2Q-16-2,2019-01-29 18:30:00,2019-02-11 15:30:00
20180509035,Division 6,DIV6-2Q,DIV6-2Q-16,DIV6-2Q-16-1,2019-02-11 15:30:00,
20180509040,Division 2,DIV2-D4,DIV2-D4-NL,DIV2-D4-NL-20,2018-05-10 02:00:00,2018-06-26 17:00:00
20180509040,Division 2,DIV2-D2,DIV2-D2-T,DIV2-D2-T-20,2018-06-26 17:00:00,2018-07-01 00:00:00
20180509040,Division 2,DIV2-D3,DIV2-D3-FF,DIV2-D3-FF-26,2018-07-01 00:00:00,2018-07-02 15:30:00
20180509040,Division 2,DIV2-D2,DIV2-D2-T,DIV2-D2-T-20,2018-07-02 16:30:00,2018-12-11 05:00:00
20180509051,Division 8 RTU,DIV08-2B,DIV08-2B-D1,DIV08-2B-D1-27,2018-05-09 23:30:00,2018-05-14 08:00:00
20180509051,Division 8 RTU,DIV08-2F,DIV08-2F-D2,DIV08-2F-D2-30,2018-05-14 08:00:00,2018-05-18 08:00:00
20180509051,Division 2,DIV2-D4,DIV2-D4-QL,DIV2-D4-QL-1,2018-05-18 20:30:00,2018-05-25 08:46:00
20180509051,Division 6,DIV6-2D,DIV6-2D-13,DIV6-2D-13-2,2018-05-25 09:00:00,2018-06-12 09:00:00
20180509051,Division 6,DIV6-2D,DIV6-2D-10,DIV6-2D-10-1,2018-06-12 09:00:00,2018-06-12 12:30:00
20180509051,Division 6,DIV6-2D,DIV6-2D-13,DIV6-2D-13-2,2018-06-12 12:30:00,2018-08-28 17:30:00
20180509056,Division 2,DIV2-D4,DIV2-D4-NU,DIV2-D4-NU-62,2018-05-10 00:00:00,2018-06-26 17:00:00
20180509056,Division 2,DIV2-D2,DIV2-D2-U,DIV2-D2-U-3,2018-06-26 17:00:00,2018-11-07 18:30:00
20180509060,Division 4,DIV4-L2,DIV4-L2-213,DIV4-L2-213-2,2018-05-09 23:00:00,2018-05-15 11:00:00
20180509060,Division 6,DIV6-1Q,DIV6-1Q-13,DIV6-1Q-13-2,2018-05-15 11:30:00,2018-05-17 08:30:00
20180509060,Division 9,DIV9-3F,DIV9-3F-3229,DIV9-3F-3229-2,2018-05-17 10:00:00,2018-09-04 19:00:00
20180509079,Division 5,DIV5-2D,DIV5-2D-15,DIV5-2D-15-2,2018-05-09 21:00:00,2018-05-10 20:30:00
20180509079,Division 17,DIV17-SFFP,DIV17-SFFP-SFFP,DIV17-SFFP-SFFP-General,2018-05-10 23:00:00,2018-05-22 12:00:00
20180509079,Division 17,DIV17-SFFPAW,DIV17-SFFPAW-AWOL,DIV17-SFFPAW-AWOL-General,2018-05-22 12:00:00,2018-05-24 21:00:00
20180509079,Division 5,DIV5-2D,DIV5-2D-18,DIV5-2D-18-1,2018-05-24 23:00:00,2018-08-05 08:00:00
20180509080,Division 8 RTU,DIV08-4H,DIV08-4H-D6,DIV08-4H-D6-7,2018-05-10 04:30:00,2018-05-12 10:30:00
20180509080,Division 8 RTU,DIV08-2G,DIV08-2G-D3,DIV08-2G-D3-15,2018-05-12 10:30:00,2018-05-15 17:30:00
20180509080,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,2018-05-15 23:30:00,2018-08-17 17:43:53
20180509088,Division 2,DIV2-D4,DIV2-D4-QU,DIV2-D4-QU-39,2018-05-10 00:00:00,2018-06-30 00:30:00
