scenario,scenario_name,edge_case,mvpf,detainee_values,society_values,govt_cost,numerator,fel_rate,n_detainees_mult,los_days,crime_effect,det_Relative Harm Valuation (RHV),soc_Valuation of effects of detention on court appearance,soc_Incapacitation and deterrance crime effects of detention  ,gov_Total Funding for CCJ (2018),gov_Crime-related cost per crime types (F/M),det_WTP for Freedom,soc_Wrongful death damages Social cost of detainment (focusing on economic impact submeasure)
baseline,Baseline MVPF,Max Crime Effect,-8.903367379577604,-11594987590.930883,-24879005215.382782,4096651441.113966,-36473992806.31367,0.7,1.0,70,14,-11594987590.930883,518063.3858195435,-24879523278.7686,559885534.7742624,3536765906.3397036,,
baseline,Baseline MVPF,High Harm Low Crime,-25.052642658000273,-120919156305.42206,20299232714.84755,4016339711.7087245,-100619923590.57451,1.0,2.0,365,-4,-120919156305.42206,1036126.771639087,20298196588.07591,559885534.7742624,3456454176.934462,,
baseline,Baseline MVPF,Low Harm High Crime,-0.6367654309729752,-16564267.987044118,-359436371.4654302,590485320.2818292,-376000639.4524743,0.1,0.1,1,14,-16564267.987044118,51806.33858195435,-359488177.8040122,559885534.7742624,30599785.507566858,,
most conservative,Most Conservative Approach,Baseline (All Average),-0.04908199636039911,-27998363.16585,518063.3858195435,559885534.7742624,-27480299.780030455,0.7,1.0,70,0,,518063.3858195435,0.0,559885534.7742624,0.0,-27998363.16585,
most conservative,Most Conservative Approach,All Minimum Values,0.18065001528584762,-39997.661665499996,102762714.28258543,568628330.6335672,102722716.62091993,0.1,0.1,1,-4,,51806.33858195435,102710907.94400348,559885534.7742624,8742795.859304817,-39997.661665499996,
most conservative,Most Conservative Approach,All Maximum Values,-5.63577127298221,-291982930.15814996,-71042651931.49405,12657475154.04488,-71334634861.6522,1.0,2.0,365,14,,1036126.771639087,-71043688058.26569,559885534.7742624,12097589619.270617,-291982930.15814996,
most conservative,Most Conservative Approach,Min Felony Rate,-0.04908199636039911,-27998363.16585,518063.3858195435,559885534.7742624,-27480299.780030455,0.1,1.0,70,0,,518063.3858195435,0.0,559885534.7742624,0.0,-27998363.16585,
most conservative,Most Conservative Approach,Max Felony Rate,-0.04908199636039911,-27998363.16585,518063.3858195435,559885534.7742624,-27480299.780030455,1.0,1.0,70,0,,518063.3858195435,0.0,559885534.7742624,0.0,-27998363.16585,
most conservative,Most Conservative Approach,Min Detainee Population,-0.00490819963603991,-2799836.3165849997,51806.33858195435,559885534.7742624,-2748029.9780030455,0.7,0.1,70,0,,51806.33858195435,0.0,559885534.7742624,0.0,-2799836.3165849997,
most conservative,Most Conservative Approach,Max Detainee Population,-0.09816399272079822,-55996726.3317,1036126.771639087,559885534.7742624,-54960599.56006091,0.7,2.0,70,0,,1036126.771639087,0.0,559885534.7742624,0.0,-55996726.3317,
